question,ref_answer,keywords
ما اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم ؟,اسم الملك الذي جاء بالوحي إلى رسول الله صلى الله عليه وسلم سيدنا جبريل عليه السلام ,جبريل
ما أول ما نزل من القرآن الكريم على  سيدنا محمد  صلى الله عليه وسلم ؟,"أول ما نزل من القرآن الكريم على سيدنا محمد صلى الله عليه وسلم سورة اقرا
",العلق اقرا إقرأ
كيف كانت دعوة الرسول في البداية ؟,كانت دعوة الرسول في البداية سرية,سراً سرية 
كم دامت الدعوة السرية في مكة ؟ وبما تميزت؟,دامت الدعوة السرية في مكة 3 سنوات وقد تميزت بالتخفي ., ثلاثة 3 + تخفي سرية
اذكر بعض أسماء السابقين إلى الإسلام؟,"بعض أسماء السابقين إلى الإسلامز علي ابي طالب  - زيد ابن حارثة  -  خديجة _ الارقم _ عمار بن ياسر - بلال بن ابي رباح
","خديجة علي ""زيد ابن حارثة"" الارقم"
بما واجه سيدنا محمد (ص) إيذاء قومه له ؟,واجه سيدنا محمد (ص) إيذاء قومه له  محتسبا  صابرا راضيا  بقضاء الله موقنا بانه تعالى غالب على امره.,
ما مظاهر صبر رسول الله (ص) على الأذى؟,مظاهر صبر رسول الله (ص) على الأذى ترفعه مقابلة السب والضرب بمثلهما,
كيف كانت دعوة الرسول قومه في المرحلة الثانية ؟,كانت دعوة الرسول قومه في المرحلة الثانية جهرية,جهرية جهرا
كيف أقبل عليهم عند دعوتهم ؟,أقبل عليهم عند دعوتهم يدعوهم الى توحيد الله تعالى.,
اذكر آية تبين أمر الله لرسوله بالجهر بالدعوة؟,آية تبين أمر الله لرسوله بالجهر بالدعوة (فاصدع بما تومر واعرض عن المشركين),"""فاصدع بما تومر واعرض عن المشركين"""
من هم آل ياسر؟,آل ياسر سمية - عمار بن ياسر - ياسر ابو عمار,سمية + عمار + ياسر
إلى ماذا تعرض آل ياسر؟,تعرض آل ياسر الاذى و تعذيب .,الاذى + تعذيب
كم هم أفراد آل ياسر الذين تعرضوا للأذى ؟,عدد أفراد آل ياسر الذين تعرضوا للأذى ثلاثة, ثلاثة 3
بم نصحهم الرسول  ؟,"نصحهم الرسول بالصبر .

",صبر  يصبروا  يصبرو
بم بشرهم رسول الله  ؟, بشرهم رسول الله بالجنة.,الجنة جنة
استشهد على ذلك ؟,قوله (ص) صبرا ال ياسر فان موعدكم الجنة.,صبرا + موعدكم + الجنة
ما القيمة المسخلصة من قصة آل ياسر؟,القيمة المسخلصة من قصة آل ياسر الصبر و التضحية في سبيل الله.,الصبر + التضحية
ما جزا ء من ابتلاه الله فصبر؟,جزا ء من ابتلاه الله فصبر هو الجنة.,الجنة
